Vmag,Plx,B-V,Abs Mag
9.2,12.08,0.606,0.1558661314297744
6.82,7.49,1.071,1.523036364601067
8.29,2.83,1.183,1.7804271289514197
6.83,3.66,1.197,2.1410378292111787
4.78,14.77,1.254,1.7492390093761003
7.21,5.07,1.169,1.705984081333328
5.58,0.86,0.407,3.899003097512865
8.7,5.08,0.366,1.1082725754321616
8.06,2.94,0.969,1.839305339175685
10.86,11.27,0.942,-0.4478478320922129
6.5,15.2,0.182,1.0363128241104547
9.32,6.6,0.559,0.6329121289162625
9.14,2.93,1.08,1.4102647592917807
8.13,8.11,0.2,0.9299582915776877
10.62,1.89,0.358,1.199076391653512
6.62,3.51,0.545,2.2613857670683517
9.96,1.3,0.264,1.7881132953863261
8.64,20.1,0.62,-0.0623921148409778
6.6,5.84,1.153,1.8271743057752012
6.25,2.45,-0.042,2.721667831270935
7.83,6.34,1.074,1.2638214842365347
10.03,1.62,1.289,1.5689699709147384
9.04,8.98,0.546,0.4774473266653917
8.47,5.61,1.35,1.114074277487677
7.33,16.04,0.73,0.6575912721037106
8.66,3.57,1.364,1.4306635677756137
10.35,20.05,1.033,-0.7442287539124021
5.13,7.98,-0.128,2.1439942172985416
8.96,4.39,0.306,1.131070959515757
8.49,-0.13,1.569,4.376113295386327
11.26,22.92,0.932,-1.2244292265907046
8.15,4.22,0.584,1.489375098076652
7.04,7.5,1.06,1.4338774732165998
10.02,5.1,0.456,0.5768596478041275
8.9,5.54,0.459,0.9529804705431403
7.78,7.56,0.411,1.1309564089975868
4.37,7.86,1.631,2.4611549079211836
9.93,2.28,0.283,1.3121303059990925
8.6,3.09,0.1,1.5800830411503308
8.51,6.87,0.903,0.9220865258808992
7.09,7.03,0.999,1.470089349960352
6.93,16.92,0.292,0.7711992825939905
8.68,2.07,-0.052,1.8960593090861646
8.98,2.38,1.5,1.654846085886976
9.84,2.71,0.696,1.1980614182511886
8.98,2.92,0.107,1.4772342971031631
7.98,4.41,0.97,1.5191228210643228
10.16,-0.59,0.45,2.3942959767157115
8.86,9.46,0.66,0.5042177271964146
8.58,3.5,0.06,1.4798639112994487
9.56,1.95,1.113,1.5959307772749638
9.24,63.03,1.39,-1.29509461425123
9.63,5.96,0.509,0.5975074805195268
5.8,80.63,0.69,-0.132993319598706
